# x, y, T_numerical, T_analytical
0.01002, 0.591182, 2.73537, 2.73537
0.01002, 0.601202, 2.70866, 2.70866
0.01002, 0.611222, 2.67926, 2.67926
0.01002, 0.621242, 2.64721, 2.64721
0.01002, 0.631263, 2.61253, 2.61253
0.01002, 0.641283, 2.57527, 2.57527
0.01002, 0.651303, 2.53545, 2.53545
0.01002, 0.661323, 2.49312, 2.49312
0.01002, 0.671343, 2.44832, 2.44832
0.01002, 0.681363, 2.4011, 2.4011
0.01002, 0.691383, 2.3515, 2.3515
0.01002, 0.701403, 2.29956, 2.29956
0.01002, 0.711423, 2.24535, 2.24535
0.01002, 0.721443, 2.18891, 2.18891
0.01002, 0.731463, 2.13031, 2.13031
0.01002, 0.741483, 2.06959, 2.06959
0.01002, 0.751503, 2.00682, 2.00682
0.01002, 0.761523, 1.94207, 1.94207
0.01002, 0.771543, 1.87539, 1.87539
0.01002, 0.781563, 1.80685, 1.80685
0.01002, 0.791583, 1.73652, 1.73652
0.01002, 0.801603, 1.66447, 1.66447
0.01002, 0.811623, 1.59077, 1.59077
0.01002, 0.821643, 1.5155, 1.5155
0.01002, 0.831663, 1.43872, 1.43872
0.01002, 0.841683, 1.36052, 1.36052
0.01002, 0.851703, 1.28097, 1.28097
0.01002, 0.861723, 1.20015, 1.20015
0.01002, 0.871743, 1.11815, 1.11815
0.01002, 0.881764, 1.03503, 1.03503
0.01002, 0.891784, 0.950888, 0.950888
0.01002, 0.901804, 0.865804, 0.865804
0.01002, 0.911824, 0.779862, 0.779862
0.01002, 0.921844, 0.693148, 0.693148
0.01002, 0.931864, 0.605747, 0.605747
0.01002, 0.941884, 0.517746, 0.517746
0.01002, 0.951904, 0.429231, 0.429231
0.01002, 0.961924, 0.340292, 0.340292
0.01002, 0.971944, 0.251015, 0.251015
0.01002, 0.981964, 0.161489, 0.161489
0.01002, 0.991984, 0.0718039, 0.0718039
0.0200401, 0, 0, 0
0.0200401, 0.01002, 0.17941, 0.17941
0.0200401, 0.0200401, 0.358643, 0.358643
0.0200401, 0.0300601, 0.53752, 0.53752
0.0200401, 0.0400802, 0.715864, 0.715864
0.0200401, 0.0501002, 0.893499, 0.893499
0.0200401, 0.0601202, 1.07025, 1.07025
0.0200401, 0.0701403, 1.24594, 1.24594
0.0200401, 0.0801603, 1.42039, 1.42039
0.0200401, 0.0901804, 1.59344, 1.59344
0.0200401, 0.1002, 1.76491, 1.76491
0.0200401, 0.11022, 1.93463, 1.93463
0.0200401, 0.12024, 2.10243, 2.10243
0.0200401, 0.130261, 2.26815, 2.26815
0.0200401, 0.140281, 2.43162, 2.43162
0.0200401, 0.150301, 2.59269, 2.59269
0.0200401, 0.160321, 2.75118, 2.75118
0.0200401, 0.170341, 2.90695, 2.90695
0.0200401, 0.180361, 3.05984, 3.05984
0.0200401, 0.190381, 3.20969, 3.20969
0.0200401, 0.200401, 3.35637, 3.35637
0.0200401, 0.210421, 3.49972, 3.49972
0.0200401, 0.220441, 3.6396, 3.6396
0.0200401, 0.230461, 3.77588, 3.77588
0.0200401, 0.240481, 3.90841, 3.90841
0.0200401, 0.250501, 4.03708, 4.03708
0.0200401, 0.260521, 4.16174, 4.16174
0.0200401, 0.270541, 4.28228, 4.28228
0.0200401, 0.280561, 4.39857, 4.39857
0.0200401, 0.290581, 4.51051, 4.51051
0.0200401, 0.300601, 4.61798, 4.61798
0.0200401, 0.310621, 4.72087, 4.72087
0.0200401, 0.320641, 4.81908, 4.81909
0.0200401, 0.330661, 4.91252, 4.91252
0.0200401, 0.340681, 5.0011, 5.0011
0.0200401, 0.350701, 5.08471, 5.08471
0.0200401, 0.360721, 5.16329, 5.16329
0.0200401, 0.370741, 5.23676, 5.23676
0.0200401, 0.380762, 5.30503, 5.30503
0.0200401, 0.390782, 5.36805, 5.36805
0.0200401, 0.400802, 5.42575, 5.42575
0.0200401, 0.410822, 5.47807, 5.47807
0.0200401, 0.420842, 5.52497, 5.52497
0.0200401, 0.430862, 5.56639, 5.56639
0.0200401, 0.440882, 5.60229, 5.60229
0.0200401, 0.450902, 5.63265, 5.63265
0.0200401, 0.460922, 5.65742, 5.65742
0.0200401, 0.470942, 5.67659, 5.67659
0.0200401, 0.480962, 5.69013, 5.69013
0.0200401, 0.490982, 5.69803, 5.69803
0.0200401, 0.501002, 5.70029, 5.70029
0.0200401, 0.511022, 5.6969, 5.69691
0.0200401, 0.521042, 5.68787, 5.68787
0.0200401, 0.531062, 5.6732, 5.6732
0.0200401, 0.541082, 5.65291, 5.65291
0.0200401, 0.551102, 5.62702, 5.62702
0.0200401, 0.561122, 5.59555, 5.59555
0.0200401, 0.571142, 5.55854, 5.55854
0.0200401, 0.581162, 5.51602, 5.51602
0.0200401, 0.591182, 5.46804, 5.46804
0.0200401, 0.601202, 5.41464, 5.41464
0.0200401, 0.611222, 5.35587, 5.35587
0.0200401, 0.621242, 5.29179, 5.29179
0.0200401, 0.631263, 5.22248, 5.22248
0.0200401, 0.641283, 5.14798, 5.14798
0.0200401, 0.651303, 5.06839, 5.06839
0.0200401, 0.661323, 4.98378, 4.98378
0.0200401, 0.671343, 4.89422, 4.89422
0.0200401, 0.681363, 4.79982, 4.79982
0.0200401, 0.691383, 4.70066, 4.70066
0.0200401, 0.701403, 4.59685, 4.59685
0.0200401, 0.711423, 4.48848, 4.48848
0.0200401, 0.721443, 4.37566, 4.37566
0.0200401, 0.731463, 4.2585, 4.2585
0.0200401, 0.741483, 4.13713, 4.13713
0.0200401, 0.751503, 4.01166, 4.01166
0.0200401, 0.761523, 3.88221, 3.88221
0.0200401, 0.771543, 3.74892, 3.74892
0.0200401, 0.781563, 3.61191, 3.61191
0.0200401, 0.791583, 3.47132, 3.47132
0.0200401, 0.801603, 3.3273, 3.3273
0.0200401, 0.811623, 3.17997, 3.17997
0.0200401, 0.821643, 3.0295, 3.0295
0.0200401, 0.831663, 2.87602, 2.87602
0.0200401, 0.841683, 2.7197, 2.7197
0.0200401, 0.851703, 2.56068, 2.56068
0.0200401, 0.861723, 2.39912, 2.39912
0.0200401, 0.871743, 2.23518, 2.23518
0.0200401, 0.881764, 2.06903, 2.06903
0.0200401, 0.891784, 1.90083, 1.90083
0.0200401, 0.901804, 1.73075, 1.73075
0.0200401, 0.911824, 1.55895, 1.55895
0.0200401, 0.921844, 1.38561, 1.38561
0.0200401, 0.931864, 1.21089, 1.21089
0.0200401, 0.941884, 1.03498, 1.03498
0.0200401, 0.951904, 0.858037, 0.858037
0.0200401, 0.961924, 0.680246, 0.680246
0.0200401, 0.971944, 0.501781, 0.501781
0.0200401, 0.981964, 0.322819, 0.322819
0.0200401, 0.991984, 0.143537, 0.143537
0.0300601, 0, 0, 0
0.0300601, 0.01002, 0.268893, 0.268893
0.0300601, 0.0200401, 0.53752, 0.53752
0.0300601, 0.0300601, 0.805613, 0.805614
0.0300601, 0.0400802, 1.07291, 1.07291
0.0300601, 0.0501002, 1.33914, 1.33914
0.0300601, 0.0601202, 1.60405, 1.60405
0.0300601, 0.0701403, 1.86736, 1.86736
0.0300601, 0.0801603, 2.12883, 2.12883
